Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 1460 	| explore_rate: 0.011 	| return: 15.796
episode: 1470 	| explore_rate: 0.008 	| return: 15.796
episode: 1480 	| explore_rate: 0.006 	| return: 15.796
episode: 1490 	| explore_rate: 0.003 	| return: 15.699

Testing on agent with Q-table:
[[1.82076382 4.74226003 2.06474123 1.89353838 2.02097585]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 ...
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]]

Learned Q-learning policy tested

e_return	t5p_first	tTiny_first	total_drug_in

12.637052037494493	851.0718608239586	N/A	1233.0
Done
