episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
97	1.0	8.014818946302983	6265.444990090878	N/A	1170.0
98	1.0	0.0	N/A	N/A	0.0
99	1.0	12.80469755904208	972.8746348810868	3181.3671255989016	1422.0
100	1.0	13.182209644788113	604.2944531042266	N/A	1377.0
101	1.0	7.817216343445243	N/A	N/A	1089.0
102	1.0	11.26470193587976	2733.135359194685	N/A	1323.0
103	1.0	11.139184114739312	1326.3957339404758	N/A	1368.0
104	1.0	11.94628207483825	604.2944531042266	N/A	1350.0
105	1.0	8.328683339362886	3800.479378337813	N/A	999.0
106	1.0	8.168362681294058	4862.934052413367	N/A	1044.0
