Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 1590 	| explore_rate: 0.275 	| return: 17.833
episode: 1600 	| explore_rate: 0.273 	| return: 0.0
episode: 1610 	| explore_rate: 0.27 	| return: 15.679
episode: 1620 	| explore_rate: 0.267 	| return: 18.066
episode: 1630 	| explore_rate: 0.265 	| return: 17.026
episode: 1640 	| explore_rate: 0.262 	| return: 18.083
episode: 1650 	| explore_rate: 0.259 	| return: 17.95
episode: 1660 	| explore_rate: 0.257 	| return: 17.269
episode: 1670 	| explore_rate: 0.254 	| return: 12.367
episode: 1680 	| explore_rate: 0.252 	| return: 18.233
episode: 1690 	| explore_rate: 0.249 	| return: 16.283
episode: 1700 	| explore_rate: 0.246 	| return: 18.066
episode: 1710 	| explore_rate: 0.244 	| return: 18.066
episode: 1720 	| explore_rate: 0.241 	| return: 0.0
episode: 1730 	| explore_rate: 0.239 	| return: 17.916
episode: 1740 	| explore_rate: 0.236 	| return: 17.75
episode: 1750 	| explore_rate: 0.234 	| return: 16.6
episode: 1760 	| explore_rate: 0.231 	| return: 17.185
episode: 1770 	| explore_rate: 0.229 	| return: 17.416
episode: 1780 	| explore_rate: 0.226 	| return: 18.116
episode: 1790 	| explore_rate: 0.224 	| return: 17.899
episode: 1800 	| explore_rate: 0.222 	| return: 17.65
episode: 1810 	| explore_rate: 0.219 	| return: 15.539
episode: 1820 	| explore_rate: 0.217 	| return: 17.327
episode: 1830 	| explore_rate: 0.214 	| return: 15.682
episode: 1840 	| explore_rate: 0.212 	| return: 16.6
episode: 1850 	| explore_rate: 0.21 	| return: 18.054
episode: 1860 	| explore_rate: 0.207 	| return: 17.374
episode: 1870 	| explore_rate: 0.205 	| return: 17.532
episode: 1880 	| explore_rate: 0.203 	| return: 16.516
episode: 1890 	| explore_rate: 0.2 	| return: 18.266
episode: 1900 	| explore_rate: 0.198 	| return: 17.683
episode: 1910 	| explore_rate: 0.196 	| return: 15.591
episode: 1920 	| explore_rate: 0.194 	| return: 17.12
episode: 1930 	| explore_rate: 0.191 	| return: 17.299
episode: 1940 	| explore_rate: 0.189 	| return: 18.033
episode: 1950 	| explore_rate: 0.187 	| return: 17.442
episode: 1960 	| explore_rate: 0.185 	| return: 18.15
episode: 1970 	| explore_rate: 0.182 	| return: 18.066
episode: 1980 	| explore_rate: 0.18 	| return: 16.804
episode: 1990 	| explore_rate: 0.178 	| return: 16.927
episode: 2000 	| explore_rate: 0.176 	| return: 16.817
episode: 2010 	| explore_rate: 0.174 	| return: 16.805
episode: 2020 	| explore_rate: 0.172 	| return: 18.316
episode: 2030 	| explore_rate: 0.169 	| return: 0.0
episode: 2040 	| explore_rate: 0.167 	| return: 17.173
episode: 2050 	| explore_rate: 0.165 	| return: 17.094
episode: 2060 	| explore_rate: 0.163 	| return: 18.1
episode: 2070 	| explore_rate: 0.161 	| return: 18.033
episode: 2080 	| explore_rate: 0.159 	| return: 17.468
episode: 2090 	| explore_rate: 0.157 	| return: 17.533
episode: 2100 	| explore_rate: 0.155 	| return: 18.266
episode: 2110 	| explore_rate: 0.153 	| return: 17.983
episode: 2120 	| explore_rate: 0.151 	| return: 18.404
episode: 2130 	| explore_rate: 0.149 	| return: 18.316
episode: 2140 	| explore_rate: 0.147 	| return: 17.433
episode: 2150 	| explore_rate: 0.144 	| return: 18.233
episode: 2160 	| explore_rate: 0.142 	| return: 18.266
episode: 2170 	| explore_rate: 0.14 	| return: 16.767
episode: 2180 	| explore_rate: 0.138 	| return: 18.016
episode: 2190 	| explore_rate: 0.136 	| return: 18.266
episode: 2200 	| explore_rate: 0.135 	| return: 18.033
episode: 2210 	| explore_rate: 0.133 	| return: 18.183
episode: 2220 	| explore_rate: 0.131 	| return: 17.783
episode: 2230 	| explore_rate: 0.129 	| return: 18.083
episode: 2240 	| explore_rate: 0.127 	| return: 17.816
episode: 2250 	| explore_rate: 0.125 	| return: 17.891
episode: 2260 	| explore_rate: 0.123 	| return: 17.664
episode: 2270 	| explore_rate: 0.121 	| return: 18.266
episode: 2280 	| explore_rate: 0.119 	| return: 18.187
episode: 2290 	| explore_rate: 0.117 	| return: 18.266
episode: 2300 	| explore_rate: 0.115 	| return: 16.554
episode: 2310 	| explore_rate: 0.113 	| return: 17.9
episode: 2320 	| explore_rate: 0.111 	| return: 15.667
episode: 2330 	| explore_rate: 0.11 	| return: 17.983
episode: 2340 	| explore_rate: 0.108 	| return: 17.95
episode: 2350 	| explore_rate: 0.106 	| return: 17.763
episode: 2360 	| explore_rate: 0.104 	| return: 18.15
episode: 2370 	| explore_rate: 0.102 	| return: 17.583
episode: 2380 	| explore_rate: 0.1 	| return: 18.15
episode: 2390 	| explore_rate: 0.099 	| return: 18.317
episode: 2400 	| explore_rate: 0.097 	| return: 18.066
