exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ50.32	0.006666666666666667	0.0033333333333333335	13.868655604590085	[904.11916945]	904.11916945	[2322.46247012]	2322.46247012	810.0
rational_micZ50.33	0.006666666666666667	0.006666666666666667	13.871263632963013	[903.42143271]	903.42143271	[2322.84131729]	2322.84131729	810.0
rational_micZ50.34	0.006666666666666667	0.01	13.873738891072456	[902.75058137]	902.75058137	[2323.24937888]	2323.24937888	810.0
rational_micZ50.35	0.013333333333333334	-0.05	13.813184663172349	[917.6400336]	917.6400336	[2319.59480789]	2319.59480789	810.0
rational_micZ50.36	0.013333333333333334	-0.03333333333333334	13.851063199770657	[908.96173112]	908.96173112	[2320.37158676]	2320.37158676	810.0
rational_micZ50.37	0.013333333333333334	-0.01666666666666667	13.885026200667227	[900.79466371]	900.79466371	[2321.81203707]	2321.81203707	810.0
rational_micZ50.38	0.013333333333333334	0.0	13.913692728676631	[893.29112011]	893.29112011	[2324.4139663]	2324.4139663	810.0
rational_micZ50.39	0.013333333333333334	0.0033333333333333335	13.918702573963976	[891.86959532]	891.86959532	[2325.11680056]	2325.11680056	810.0
rational_micZ50.40	0.013333333333333334	0.006666666666666667	13.923464030821773	[890.48010525]	890.48010525	[2325.88655175]	2325.88655175	810.0
rational_micZ50.41	0.013333333333333334	0.01	13.92797821424319	[889.1234459]	889.1234459	[2326.72436874]	2326.72436874	810.0
rational_micZ50.42	0.02	-0.05	13.815674738781981	[917.08407398]	917.08407398	[2319.62898188]	2319.62898188	810.0
rational_micZ50.43	0.02	-0.03333333333333334	13.866728938923718	[905.43297209]	905.43297209	[2320.67396728]	2320.67396728	810.0
rational_micZ50.44	0.02	-0.01666666666666667	13.913113911077094	[894.16068117]	894.16068117	[2322.67516948]	2322.67516948	810.0
rational_micZ50.45	0.02	0.0	13.952623801116083	[882.96573927]	882.96573927	[2326.48051647]	2326.48051647	810.0
rational_micZ50.46	0.02	0.0033333333333333335	13.95953957669838	[880.78396928]	880.78396928	[2327.54052989]	2327.54052989	810.0
rational_micZ50.47	0.02	0.006666666666666667	13.966108504661936	[878.63047966]	878.63047966	[2328.7137858]	2328.7137858	810.0
rational_micZ50.48	0.02	0.01	13.972329575934108	[876.50602535]	876.50602535	[2330.00375976]	2330.00375976	810.0
