exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micEZ70.14	-0.009999999999999998	-0.05	13.804828904428954	[919.60242636]	919.60242636	[2317.63578293]	2317.63578293	810.0
rational_micEZ70.15	-0.009999999999999998	-0.03333333333333334	13.801613278848452	[920.59918182]	920.59918182	[2307.36220527]	2307.36220527	810.0
rational_micEZ70.16	-0.009999999999999998	-0.01666666666666667	13.800080305867475	[921.09784356]	921.09784356	[2297.01699676]	2297.01699676	810.0
rational_micEZ70.17	-0.009999999999999998	0.0	13.799240906995516	[921.40961891]	921.40961891	[2286.74486016]	2286.74486016	810.0
rational_micEZ70.18	-0.009999999999999998	0.0033333333333333335	13.79911951372679	[921.45931228]	921.45931228	[2284.69507819]	2284.69507819	810.0
rational_micEZ70.19	-0.009999999999999998	0.006666666666666667	13.799009255613623	[921.50585441]	921.50585441	[2282.64488299]	2282.64488299	810.0
rational_micEZ70.20	-0.009999999999999998	0.01	13.798908810347575	[921.54956245]	921.54956245	[2280.59322687]	2280.59322687	810.0
rational_micEZ70.21	0.0	-0.05	13.805798423170053	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.22	0.0	-0.03333333333333334	13.80579842316925	[919.29455394]	919.29455394	[2319.49295471]	2319.49295471	810.0
rational_micEZ70.23	0.0	-0.01666666666666667	13.8057984231699	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.24	0.0	0.0	13.805798423170295	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.25	0.0	0.0033333333333333335	13.805798423170348	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.26	0.0	0.006666666666666667	13.805798423170422	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.27	0.0	0.01	13.805798423170492	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.28	0.006666666666666667	-0.05	13.806228154044522	[919.15835187]	919.15835187	[2320.30099179]	2320.30099179	810.0
rational_micEZ70.29	0.006666666666666667	-0.03333333333333334	13.80781469690142	[918.67091526]	918.67091526	[2324.97226147]	2324.97226147	810.0
rational_micEZ70.30	0.006666666666666667	-0.01666666666666667	13.808643627573396	[918.3897622]	918.3897622	[2330.01545235]	2330.01545235	810.0
rational_micEZ70.31	0.006666666666666667	0.0	13.809083575886234	[918.18696793]	918.18696793	[2335.31885837]	2335.31885837	810.0
rational_micEZ70.32	0.006666666666666667	0.0033333333333333335	13.809142802177506	[918.15194861]	918.15194861	[2336.40860257]	2336.40860257	810.0
rational_micEZ70.33	0.006666666666666667	0.006666666666666667	13.809194869979276	[918.11847452]	918.11847452	[2337.5080919]	2337.5080919	810.0
rational_micEZ70.34	0.006666666666666667	0.01	13.809240565441506	[918.08648209]	918.08648209	[2338.61741849]	2338.61741849	810.0
rational_micEZ70.35	0.013333333333333334	-0.05	13.806556291090352	[919.05445705]	919.05445705	[2320.91095347]	2320.91095347	810.0
rational_micEZ70.36	0.013333333333333334	-0.03333333333333334	13.809427806857197	[918.173961]	918.173961	[2329.21560755]	2329.21560755	810.0
rational_micEZ70.37	0.013333333333333334	-0.01666666666666667	13.810957906014686	[917.6454717]	917.6454717	[2338.41077919]	2338.41077919	810.0
rational_micEZ70.38	0.013333333333333334	0.0	13.81174849366564	[917.24621341]	917.24621341	[2348.70670266]	2348.70670266	810.0
rational_micEZ70.39	0.013333333333333334	0.0033333333333333335	13.811849650198095	[917.17582795]	917.17582795	[2350.98774941]	2350.98774941	810.0
rational_micEZ70.40	0.013333333333333334	0.006666666666666667	13.811936336208387	[917.10837537]	917.10837537	[2353.35559538]	2353.35559538	810.0
rational_micEZ70.41	0.013333333333333334	0.01	13.81201006009361	[917.04388496]	917.04388496	[2355.81682003]	2355.81682003	810.0
rational_micEZ70.42	0.02	-0.05	13.80681505136087	[918.97259313]	918.97259313	[2321.3887432]	2321.3887432	810.0
rational_micEZ70.43	0.02	-0.03333333333333334	13.81074746778516	[917.76858292]	917.76858292	[2332.60464627]	2332.60464627	810.0
rational_micEZ70.44	0.02	-0.01666666666666667	13.812873485293482	[917.0211002]	917.0211002	[2345.43132567]	2345.43132567	810.0
rational_micEZ70.45	0.02	0.0	13.813936904567257	[916.43345316]	916.43345316	[2361.38178381]	2361.38178381	810.0
rational_micEZ70.46	0.02	0.0033333333333333335	13.814064295787613	[916.32850239]	916.32850239	[2365.12956964]	2365.12956964	810.0
rational_micEZ70.47	0.02	0.006666666666666667	13.81416954337195	[916.22805108]	916.22805108	[2369.1182013]	2369.1182013	810.0
rational_micEZ70.48	0.02	0.01	13.814254839806157	[916.13241007]	916.13241007	[2373.38195602]	2373.38195602	810.0
