Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 1520 	| explore_rate: 0.295 	| return: 16.955
episode: 1530 	| explore_rate: 0.292 	| return: 17.631
episode: 1540 	| explore_rate: 0.289 	| return: 18.06
episode: 1550 	| explore_rate: 0.287 	| return: 16.841
episode: 1560 	| explore_rate: 0.284 	| return: 17.817
episode: 1570 	| explore_rate: 0.281 	| return: 17.81
episode: 1580 	| explore_rate: 0.278 	| return: 16.187
episode: 1590 	| explore_rate: 0.275 	| return: 18.143
episode: 1600 	| explore_rate: 0.273 	| return: 17.869
episode: 1610 	| explore_rate: 0.27 	| return: 16.574
episode: 1620 	| explore_rate: 0.267 	| return: 15.873
episode: 1630 	| explore_rate: 0.265 	| return: 17.242
episode: 1640 	| explore_rate: 0.262 	| return: 16.935
episode: 1650 	| explore_rate: 0.259 	| return: 15.686
episode: 1660 	| explore_rate: 0.257 	| return: 16.684
episode: 1670 	| explore_rate: 0.254 	| return: 16.805
episode: 1680 	| explore_rate: 0.252 	| return: 17.514
episode: 1690 	| explore_rate: 0.249 	| return: 16.549
episode: 1700 	| explore_rate: 0.246 	| return: 15.569
episode: 1710 	| explore_rate: 0.244 	| return: 17.956
episode: 1720 	| explore_rate: 0.241 	| return: 15.953
episode: 1730 	| explore_rate: 0.239 	| return: 15.622
episode: 1740 	| explore_rate: 0.236 	| return: 16.884
episode: 1750 	| explore_rate: 0.234 	| return: 16.764
episode: 1760 	| explore_rate: 0.231 	| return: 18.01
episode: 1770 	| explore_rate: 0.229 	| return: 17.438
episode: 1780 	| explore_rate: 0.226 	| return: 17.776
episode: 1790 	| explore_rate: 0.224 	| return: 12.789
episode: 1800 	| explore_rate: 0.222 	| return: 17.893
episode: 1810 	| explore_rate: 0.219 	| return: 18.143
episode: 1820 	| explore_rate: 0.217 	| return: 18.26
episode: 1830 	| explore_rate: 0.214 	| return: 18.143
episode: 1840 	| explore_rate: 0.212 	| return: 17.81
episode: 1850 	| explore_rate: 0.21 	| return: 16.196
episode: 1860 	| explore_rate: 0.207 	| return: 17.977
episode: 1870 	| explore_rate: 0.205 	| return: 17.974
episode: 1880 	| explore_rate: 0.203 	| return: 17.66
episode: 1890 	| explore_rate: 0.2 	| return: 0.0
episode: 1900 	| explore_rate: 0.198 	| return: 18.227
