alpha_EZ	alpha_ZE	eqE	eqZ	eqEZ
-0.041614882381720945	-0.04118642275563075	unstable	stable	unstable
-0.041614882381720945	-0.040102569525219414	unstable	stable	unstable
-0.041614882381720945	-0.03901871629480808	unstable	stable	unstable
-0.041614882381720945	-0.037934863064396744	unstable	stable	unstable
-0.041614882381720945	-0.03685100983398541	unstable	stable	unstable
-0.041614882381720945	-0.035767156603574074	unstable	stable	unstable
-0.041614882381720945	-0.034683303373162735	unstable	stable	unstable
-0.041614882381720945	-0.033599450142751404	unstable	stable	unstable
-0.041614882381720945	-0.03251559691234007	unstable	stable	unstable
-0.041614882381720945	-0.031431743681928734	unstable	stable	unstable
-0.041614882381720945	-0.030347890451517395	unstable	stable	unstable
-0.041614882381720945	-0.02926403722110606	unstable	stable	unstable
-0.041614882381720945	-0.028180183990694725	unstable	stable	unstable
-0.041614882381720945	-0.02709633076028339	unstable	stable	unstable
-0.041614882381720945	-0.026012477529872055	unstable	stable	unstable
-0.041614882381720945	-0.02492862429946072	unstable	stable	unstable
-0.041614882381720945	-0.023844771069049385	unstable	stable	unstable
-0.041614882381720945	-0.022760917838638046	unstable	stable	unstable
-0.041614882381720945	-0.021677064608226715	unstable	stable	unstable
-0.041614882381720945	-0.020593211377815376	unstable	stable	unstable
-0.041614882381720945	-0.019509358147404045	unstable	stable	unstable
-0.041614882381720945	-0.018425504916992706	unstable	stable	unstable
-0.041614882381720945	-0.017341651686581368	unstable	stable	unstable
-0.041614882381720945	-0.016257798456170036	unstable	stable	unstable
-0.041614882381720945	-0.015173945225758698	unstable	stable	unstable
-0.041614882381720945	-0.014090091995347366	unstable	stable	unstable
-0.041614882381720945	-0.013006238764936028	unstable	stable	unstable
-0.041614882381720945	-0.011922385534524696	unstable	stable	unstable
-0.041614882381720945	-0.010838532304113357	unstable	stable	unstable
-0.041614882381720945	-0.009754679073702026	unstable	stable	unstable
-0.041614882381720945	-0.008670825843290687	unstable	stable	unstable
-0.041614882381720945	-0.007586972612879349	unstable	stable	unstable
-0.041614882381720945	-0.006503119382468017	unstable	stable	unstable
-0.041614882381720945	-0.005419266152056679	unstable	stable	unstable
-0.041614882381720945	-0.004335412921645347	unstable	stable	unstable
-0.041614882381720945	-0.0032515596912340086	unstable	stable	unstable
-0.041614882381720945	-0.002167706460822677	unstable	stable	unstable
-0.041614882381720945	-0.0010838532304113385	unstable	stable	unstable
-0.041614882381720945	0.0	unstable	stable	unstable
-0.041614882381720945	0.0010838532304113385	unstable	stable	unstable
-0.041614882381720945	0.002167706460822677	unstable	stable	unstable
-0.041614882381720945	0.0032515596912340156	unstable	stable	unstable
-0.041614882381720945	0.004335412921645354	unstable	stable	unstable
-0.041614882381720945	0.005419266152056693	unstable	stable	unstable
-0.041614882381720945	0.006503119382468031	unstable	stable	unstable
-0.041614882381720945	0.00758697261287937	unstable	stable	unstable
-0.041614882381720945	0.008670825843290708	unstable	stable	unstable
-0.041614882381720945	0.009754679073702047	unstable	stable	unstable
-0.041614882381720945	0.010838532304113385	unstable	stable	unstable
-0.041614882381720945	0.011922385534524724	unstable	stable	unstable
-0.041614882381720945	0.013006238764936062	unstable	stable	unstable
-0.041614882381720945	0.0140900919953474	unstable	stable	unstable
-0.041614882381720945	0.01517394522575874	unstable	stable	unstable
-0.041614882381720945	0.016257798456170078	unstable	stable	unstable
-0.041614882381720945	0.017341651686581416	unstable	stable	unstable
-0.041614882381720945	0.018425504916992755	unstable	stable	unstable
-0.041614882381720945	0.019509358147404093	unstable	stable	unstable
-0.041614882381720945	0.020593211377815432	unstable	stable	unstable
-0.041614882381720945	0.02167706460822677	unstable	stable	unstable
-0.041614882381720945	0.02276091783863811	unstable	stable	unstable
-0.041614882381720945	0.023844771069049447	unstable	stable	unstable
